nombre,departamento,calificacion,costo,tiempo,latitud,longitud
Lugar 7 (Jalapa),Jalapa,3.5,206.65,3.2,14.589685,-89.863164
Lugar 8 (Jalapa),Jalapa,4.1,182.86,2.2,14.665286,-89.885144
Lugar 9 (Jalapa),Jalapa,4.1,154.26,5.4,14.520866,-89.836295
Lugar 10 (Jalapa),Jalapa,5.0,295.72,4.5,14.663858,-89.840013
Lugar 1 (Sololá),Sololá,3.5,210.0,2.1,14.614259,-91.166626
Lugar 2 (Sololá),Sololá,4.4,223.27,4.3,14.656746,-91.204341
Lugar 3 (Sololá),Sololá,3.6,214.04,5.2,14.670727,-91.267684
Lugar 4 (Sololá),Sololá,4.8,271.88,4.3,14.794725,-91.239495
Lugar 5 (Sololá),Sololá,4.2,217.59,5.2,14.615567,-91.222804
Lugar 6 (Sololá),Sololá,3.8,240.97,5.2,14.647372,-91.271933
Lugar 7 (Sololá),Sololá,3.7,58.98,4.1,14.68927,-91.194933
Lugar 8 (Sololá),Sololá,4.1,234.03,4.2,14.663275,-91.295404
Lugar 9 (Sololá),Sololá,3.8,180.32,5.5,14.686847,-91.145016
Lugar 10 (Sololá),Sololá,4.2,67.88,4.3,14.631324,-91.23543
